_id,price,title
63d5c6c95d4e070cdd661df7,$0.90,Cadbury Flake Chocolate Bar | 30g
63d5c6c95d4e070cdd661df8,$0.90,Cadbury Turkish Delight Chocolate Bar | 55g
63d5c6c95d4e070cdd661df9,$0.90,Cadbury Crunchie Chocolate bar | 50g
63d5c6c95d4e070cdd661dfa,$0.90,Cadbury Bars Chocolate Cherry Ripe | 52g
63d5c6c95d4e070cdd661dfb,$0.90,Cadbury Picnic Chocolate Bar | 46g
63d5c6c95d4e070cdd661dfc,$0.90,Cadbury Cherry Ripe Double Dip Chocolate Bar | 47g
63d5c6c95d4e070cdd661dfd,$0.90,Cadbury Twirl Caramilk Bars | 39g
63d5c6c95d4e070cdd661dfe,$0.90,Cadbury Bar Twirl Breakaway | 40g
63d5c6c95d4e070cdd661dff,$0.90,Cadbury Caramilk Chocolate Bar | 45g
63d5c6c95d4e070cdd661e00,$0.90,Cadbury Boost Chocolate Bar | 60g
63d5c6c95d4e070cdd661e01,$0.90,Cadbury Dairy Milk Caramello Chocolate Bar | 55g
63d5c6c95d4e070cdd661e02,$0.90,Cadbury Dairy Milk Chunky Chocolate Bar | 50g
63d5c6c95d4e070cdd661e03,$0.90,Cadbury Dairy Milk Chocolate Roll Pack | 55g
63d5c6c95d4e070cdd661e04,$0.90,Cadbury Breakaway Bar | 44g
63d5c6c95d4e070cdd661e05,$0.90,Cadbury Twirl Chocolate Bar | 39g
63d5c6c95d4e070cdd661e06,$0.90,Cadbury Twirl Strawberry Bars | 39g
63d5c6c95d4e070cdd661e07,$0.90,Cadbury Twirl Mint Bars | 39g
63d5c6c95d4e070cdd661e08,$0.90,Cadbury Bar Dream Oreo | 45g
63d5c6c95d4e070cdd661e09,$0.90,Cadbury Marvellous Creations Jelly Popping Candy Beanies Chocolate Bar | 50g
63d5c6c95d4e070cdd661e0a,$1.00,Cadbury Caramello Koala Chocolate | 35g
63d5c6c95d4e070cdd661e0b,$1.00,Nestle Mint Pattie Chocolate Bar | 20g
63d5c6c95d4e070cdd661e0c,$1.00,Cadbury Curly Wurly Bar | 21.5g
63d5c6c95d4e070cdd661e0d,$1.00,Reeses Nutrageous Chocolate Bar | 47g
63d5c6c95d4e070cdd661e0e,$1.00,Cadbury Dairy Milk Chocolate  Freddo  | 35g
63d5c6c95d4e070cdd661e0f,$1.50,Mars Chocolate Bar with Nougat & Caramel | 64g
63d5c6c95d4e070cdd661e10,$1.50,Twix Xtra Milk Chocolate Bar With Caramel Biscuit 2 Pack | 72g
63d5c6c95d4e070cdd661e11,$1.50,Snickers Chocolate Bar Peanuts Caramel Nougat 2 pieces | 64g
63d5c6c95d4e070cdd661e12,$1.80,Cadbury Cherry Ripe Chocolate Bars Twin Pack | 80g
63d5c6c95d4e070cdd661e13,$1.80,Cadbury Chocolate Crunchie Twin Pack | 80g
63d5c6c95d4e070cdd661e14,$1.80,Cadbury Picnic Chocolate Twin Pack | 67g
63d5c6c95d4e070cdd661e15,$1.80,Cadbury King Size Chocolate Bar Twirl | 58g
63d5c6c95d4e070cdd661e16,$1.80,"Cadbury Fry's Turkish Delight Chocolate | 2 pack"
63d5c6c95d4e070cdd661e17,$2.00,Lindt Lindor Milk Chocolate Bar | 38g
63d5c6c95d4e070cdd661e18,$2.00,Nestle KitKat Milk Chocolate Bar | 45g
63d5c6c95d4e070cdd661e19,$2.00,Mars Chocolate Bar with Nougat & Caramel | 47g
63d5c6c95d4e070cdd661e1a,$2.00,Nestle Smarties | 50g
63d5c6c95d4e070cdd661e1b,$2.00,Nestle Peppermint Crisp Chocolate Bar | 35g
63d5c6c95d4e070cdd661e1c,$2.00,Nestle KitKat Chunky Milk Chocolate | 50g
63d5c6c95d4e070cdd661e1d,$2.00,Nestle KitKat Chunky Caramel | 55g
63d5c6ca5d4e070cdd661e1e,$2.00,Bounty Milk Chocolate Bar With Coconut | 56g
63d5c6ca5d4e070cdd661e1f,$2.00,"Reese's Peanut Butter Cups Milk Chocolate 2 pack | 42g"
63d5c6ca5d4e070cdd661e20,$2.00,Snickers Chocolate Bar Peanuts Caramel Nougat | 44g
63d5c6ca5d4e070cdd661e21,$2.00,Kinder Bueno White Chocolate Bar | 39g
63d5c6ca5d4e070cdd661e22,$2.00,Nestle Rolo | 52g
63d5c6ca5d4e070cdd661e23,$2.00,Nestle Chokito Bar | 55g
